Alter Ego,,PC,Simulation,Activision,0.03,1985
1942,,NES,Shooter,Capcom,1,1985
World Class Track Meet,,NES,Sports,Namco Bandai Games,3.08,1986
TwinBee,,NES,Shooter,Konami,1.2,1986
TwinBee,,NES,Shooter,Konami Digital Entertainment,1.2,1986
The Mysterious Murasame Castle,,NES,Action,Nintendo,0.57,1986
The Legend of Zelda,,NES,Action,Nintendo,6.51,1986
Tag Team Match M.U.S.C.L.E.,,NES,Fighting,Bandai,1.05,1986
Super Mario Bros.: The Lost Levels,,NES,Platform,Nintendo,2.65,1986
Star Soldier,,NES,Shooter,Hudson Soft,0.96,1986
Solaris,,2600,Shooter,Atari,0.37,1986
Solaris,,2600,Shooter,Atari,0.37,1986
RealSports Boxing,,2600,Sports,Atari,0.29,1986
Rad Racer,,NES,Racing,Nintendo,1.96,1986
Pro Yakyuu Family Stadium,,NES,Sports,Namco Bandai Games,2.2,1986
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,,NES,Platform,Hudson Soft,1.5,1986
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,,NES,Platform,Hudson Soft,1.5,1986
Nazo no Murasame-Jou (FDS),,NES,Action,Nintendo,0.57,1986
Metroid,,NES,Action,Nintendo,2.73,1986
Kid Icarus,,NES,Platform,Nintendo,1.76,1986
Gradius,,NES,Shooter,Konami,1.36,1986
Gradius,,NES,Shooter,Konami Digital Entertainment,1.36,1986
Ghosts 'n Goblins,,NES,Action,Capcom,1.64,1986
Ganbare Goemon! Karakuri Douchuu,,NES,Platform,Konami,1.2,1986
Ganbare Goemon! Karakuri Douchuu,,NES,Platform,Konami Digital Entertainment,1.2,1986
Dragon Warrior,,NES,Role-Playing,Capcom,2.52,1986
Doraemon,,NES,Action,Hudson Soft,1.15,1986
Doraemon,,NES,Action,Hudson Soft,1.15,1986
Commando,,NES,Action,Capcom,1.14,1986
Castlevania,,NES,Platform,Konami Digital Entertainment,1.23,1986
Balloon Fight,,NES,Platform,Nintendo,0.92,1986
Alter Ego,,PC,Simulation,Activision,0.03,1986
Adventure Island,,NES,Platform,Hudson Soft,1.05,1986
1942,,NES,Shooter,Capcom,1,1986
Zelda II: The Adventure of Link,,NES,Adventure,Nintendo,4.38,1987
Volleyball,,NES,Sports,Nintendo,2.15,1987
Super Football,,2600,Sports,Atari,0.08,1987
Super Baseball,,2600,Sports,Atari,0.07,1987
RealSports Boxing,,2600,Sports,Atari,0.29,1987
Pro Yakyuu Family Stadium '87,,NES,Sports,Namco Bandai Games,1.42,1987
Pro Wrestling,,NES,Fighting,Nintendo,2.4,1987
Mike Tyson's Punch-Out!!,,NES,Fighting,Nintendo,3.02,1987
Mega Man,,NES,Platform,Capcom,0.81,1987
Mega Man,,NES,Platform,Capcom,0.81,1987
Lode Runner,,NES,Puzzle,Broderbund,1.1,1987
Kung-Fu Master,,2600,Action,Activision,0.65,1987
Kung-Fu Master,,2600,Action,Activision,0.65,1987
Gegege no Kitarou 2: Youkai Gundan no Chousen,,NES,Role-Playing,Bandai,1.25,1987
Gegege no Kitarou 2: Youkai Gundan no Chousen,,NES,Role-Playing,Namco Bandai Games,1.25,1987
Final Fantasy,,NES,Role-Playing,SquareSoft,0.84,1987
Dragon Warrior II,,NES,Role-Playing,Enix Corporation,2.56,1987
Desert Falcon,,2600,Shooter,Atari,0.26,1987
Desert Falcon,,2600,Shooter,Atari,0.26,1987
Defender II,,2600,Shooter,Atari,0.45,1987
Commando,,2600,Action,Activision,0.47,1987
Castlevania II: Simon's Quest,,NES,Platform,Konami Digital Entertainment,0.93,1987
Castlevania,,NES,Platform,Konami,1.23,1987
Tetris,,NES,Puzzle,Nintendo,5.58,1988
Super Mario Bros. 3,,NES,Platform,Nintendo,17.28,1988
Super Mario Bros. 2,,NES,Platform,Nintendo,7.46,1988
